Username,Rating,Date,Review,Reply,Reply Date,Usefulness
Rani Manik,5,1 April 2025,This app is very good app❤😍 I love this app,N/A,N/A,"('N/A', 'N/A')"
Rohan Kumar,5,1 April 2025,awesome app i like this app*,N/A,N/A,"('N/A', 'N/A')"
Robin sunny,1,1 April 2025,waste of time,Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
jessy,1,1 April 2025,My concerned about sharing my Aadhaar and PAN card details for withdrawing money. Can't we use UPI instead? I believe it's safer not to share personal details on any app. Would it be possible to remove this requirement for withdrawals? How can we trust that our sensitive information will be secure? so guys think twice before giving your aadhaar and pan card details.,Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
Vipin Kakarot,5,1 April 2025,this app is very good i really like this app best app for making friends*,N/A,N/A,"('N/A', 'N/A')"
Nidhish Ashok,1,1 April 2025,This is a fraud app ....,Gyani - Made in India for India,2 April 2025,1 person found this review helpful
Md Sameer,5,1 April 2025,this is really good *,N/A,N/A,"('N/A', 'N/A')"
Shudhansu Kashyap,5,1 April 2025,aswosme app I like this app*,N/A,N/A,"('N/A', 'N/A')"
Manish Manish,1,1 April 2025,Mony vest,Gyani - Made in India for India,2 April 2025,1 person found this review helpful
Aditya Kumar,5,1 April 2025,app is nice*,N/A,N/A,"('N/A', 'N/A')"
Gopal Shah,5,1 April 2025,nice app forever*,N/A,N/A,"('N/A', 'N/A')"
Krishna Chauhan,5,1 April 2025,Nice app 👍🏻 at *,N/A,N/A,"('N/A', 'N/A')"
Prince Rajput,5,1 April 2025,nest app forever 😊,N/A,N/A,"('N/A', 'N/A')"
Sanjib howladar,5,1 April 2025,vary good app vary vary good*,N/A,N/A,"('N/A', 'N/A')"
Ashok Sah,5,1 April 2025,This App is Very Good*,N/A,N/A,"('N/A', 'N/A')"
Ramesh Thakor,5,1 April 2025,best app with friends*,N/A,N/A,"('N/A', 'N/A')"
priya sasi,5,1 April 2025,it was the good application it was awesome*,N/A,N/A,"('N/A', 'N/A')"
Suneo Gaming,5,1 April 2025,awsome app i like this app*,N/A,N/A,"('N/A', 'N/A')"
Raju Pal,5,1 April 2025,"This app very best dostt app""*""",N/A,N/A,"('N/A', 'N/A')"
Aushman Gouda,5,1 April 2025,very good application very useful in my life Bast app for me life*,N/A,N/A,"('N/A', 'N/A')"
Subhankar Samanta,5,1 April 2025,Dostt app is very nice App,N/A,N/A,"('N/A', 'N/A')"
Samad Lite,5,1 April 2025,Awesome app and Thanks to the*,N/A,N/A,"('N/A', 'N/A')"
Chintu Gulu,5,1 April 2025,very good and nice app 👍👍💯*,N/A,N/A,"('N/A', 'N/A')"
Pratap Gunda,1,31 March 2025,"why should boys recharge hundreds of rupees to talk with someone ? these days telecom operators are providing free calls with mobile data, why can't you do the same with minimal amount. boys will recharge n girls will get money if they talk for minutes.",Gyani - Made in India for India,1 April 2025,1 person found this review helpful
Abhay Gangwar,5,31 March 2025,this is very exciting app for making friends*,N/A,N/A,"('N/A', 'N/A')"
Syedsajjadhussain S,5,31 March 2025,nice of Super App in the world this I was super dosttapp,N/A,N/A,"('N/A', 'N/A')"
Sudip Paria,5,31 March 2025,THE APP IS VERY GOOD FOR FRIENDS O REQUEST FOR ALL DOWNLOAD THE APP*****,N/A,N/A,"('N/A', 'N/A')"
Ayush Gupta,5,31 March 2025,best app neic app download app 👍😘 apps*,N/A,N/A,"('N/A', 'N/A')"
Supreme Dharma,1,31 March 2025,biggest fraud this app don't install scripted app,Gyani - Made in India for India,1 April 2025,1 person found this review helpful
Pankaj Singh,5,31 March 2025,this is so awesome app *,N/A,N/A,"('N/A', 'N/A')"
pravindra Kumar,5,31 March 2025,awesome app nice app I like this app*,N/A,N/A,"('N/A', 'N/A')"
GV GAMING FF YT,5,31 March 2025,agar koi nhi hai tumhari baatein sunne wala toh intezar kiska kar rhe ho abhi download Karo dostt app*,N/A,N/A,"('N/A', 'N/A')"
Rajendra Binjhwar,5,31 March 2025,the best app for many things and I think I like this app I will using this app for two wicks and*,N/A,N/A,"('N/A', 'N/A')"
George,1,31 March 2025,udayipp app aanu 1000 koduthalum onnim kittan ponilla,Gyani - Made in India for India,1 April 2025,1 person found this review helpful
Abhilash Singh,5,31 March 2025,good apps for search life partner*,N/A,N/A,"('N/A', 'N/A')"
chirag BR,1,31 March 2025,Its a worst app I have ever seen..I lost more then 500 coins in 1 video call in less then a minute..,Gyani - Made in India for India,1 April 2025,1 person found this review helpful
MD Haaris,5,31 March 2025,good app to find true friends*,N/A,N/A,"('N/A', 'N/A')"
Shlok More,5,31 March 2025,best app for making new friends*,N/A,N/A,"('N/A', 'N/A')"
Raj Kumari,5,31 March 2025,This is the best application for make friends*,N/A,N/A,"('N/A', 'N/A')"
Jaykumar Verma,5,31 March 2025,nice app . I like this app.,N/A,N/A,"('N/A', 'N/A')"
SANDEEP DHANAGAR,5,31 March 2025,It's a awesome for making friends I made so many friends from here✨**,N/A,N/A,"('N/A', 'N/A')"
suresh kumar,5,31 March 2025,this app is very amazing app*,N/A,N/A,"('N/A', 'N/A')"
Santosh Bendal,5,31 March 2025,very nice app and good*,N/A,N/A,"('N/A', 'N/A')"
Mamani Das,5,31 March 2025,good app very good keep it up*,N/A,N/A,"('N/A', 'N/A')"
Pawan Yadav,5,31 March 2025,the best app for friends ha The best app*,N/A,N/A,"('N/A', 'N/A')"
Shiv Arora Gaming,5,31 March 2025,awesome app I like this app*,N/A,N/A,"('N/A', 'N/A')"
Devansh Bagri,5,31 March 2025,really you can make freinds easily*,N/A,N/A,"('N/A', 'N/A')"
Ak Akash,1,31 March 2025,louda app,Gyani - Made in India for India,1 April 2025,1 person found this review helpful
ʀᴘ ᴢᴇᴜꜱ,5,31 March 2025,dostt app is very fantastic application we make a new Friend's*,N/A,N/A,"('N/A', 'N/A')"
Gamer,5,31 March 2025,dost application is best application I have ever used for making friends I like this app so much and this app has very much interface*,N/A,N/A,"('N/A', 'N/A')"
Haresh Khandvi,5,31 March 2025,Awesome app I like APP*,N/A,N/A,"('N/A', 'N/A')"
akash patra,5,31 March 2025,awesome app. I like this app very much*,N/A,N/A,"('N/A', 'N/A')"
Mariam,5,31 March 2025,nice super app. Download it fast nice app*,N/A,N/A,"('N/A', 'N/A')"
Yuvraj sahu,5,31 March 2025,nice app I am install the app and talk many friends*,N/A,N/A,"('N/A', 'N/A')"
Sandip Mondal,5,31 March 2025,best app i like this app*,N/A,N/A,"('N/A', 'N/A')"
Dnyaneshwar Bhise,5,31 March 2025,awesome app I like the app*,N/A,N/A,"('N/A', 'N/A')"
Narendra Sahu,5,31 March 2025,i like this app*,N/A,N/A,"('N/A', 'N/A')"
Sumit,5,31 March 2025,ऐय ऐप काफीबडिया हे,N/A,N/A,"('N/A', 'N/A')"
Subhakanta Maharana,5,31 March 2025,wow*,N/A,N/A,"('N/A', 'N/A')"
Sanjib Debbarma,5,31 March 2025,very good app I like it*,N/A,N/A,"('N/A', 'N/A')"
Pooja Kunwar dasana Dasana,5,31 March 2025,i like this app *,N/A,N/A,"('N/A', 'N/A')"
VISHRAM PRASAD,5,31 March 2025,i like the app *,N/A,N/A,"('N/A', 'N/A')"
Amarsingh Amarsingh,5,31 March 2025,very nice application like this application*,N/A,N/A,"('N/A', 'N/A')"
Prince Prajapati,5,31 March 2025,awasome i like this app,N/A,N/A,"('N/A', 'N/A')"
AKAZA BOY,5,31 March 2025,best app of the world*,N/A,N/A,"('N/A', 'N/A')"
Subhra Mondal,5,31 March 2025,this app very awsome.this app is very useful*,N/A,N/A,"('N/A', 'N/A')"
Ammu Ammu,5,31 March 2025,nice,N/A,N/A,"('N/A', 'N/A')"
Shazaib Ali,5,31 March 2025,Nice ❤️,N/A,N/A,"('N/A', 'N/A')"
Bikash Gochhayat,5,31 March 2025,Dostt app was Excellent app it makes talk with friends*easier,N/A,N/A,"('N/A', 'N/A')"
gomathi senthil,4,31 March 2025,super,N/A,N/A,"('N/A', 'N/A')"
Aryan ansary ansary,5,31 March 2025,very nice app i have make a friend using this app*,N/A,N/A,"('N/A', 'N/A')"
মমতা পাল,5,31 March 2025,GUDD PAA Nunes paa my friend app*,N/A,N/A,"('N/A', 'N/A')"
Manoj Patel,5,31 March 2025,this app is nice to toke dost*,N/A,N/A,"('N/A', 'N/A')"
Deepanshu Kumar,5,30 March 2025,awesome app*,N/A,N/A,"('N/A', 'N/A')"
KRISHNA RAJ,1,30 March 2025,"very bad app , cheating video call , video recorder use ,no live video calls bad app",Gyani - Made in India for India,1 April 2025,2 people found this review helpful
SAI KUMAR G (GSK),1,30 March 2025,"They've hired few girls as employee and making them talk ,worst app",Gyani - Made in India for India,1 April 2025,2 people found this review helpful
Venki Anju,1,30 March 2025,is a very very fraud app,Gyani - Made in India for India,1 April 2025,2 people found this review helpful
Sashmitha2020 Sashmitha,5,30 March 2025,very nice app it's life very happy 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,N/A,N/A,"('N/A', 'N/A')"
Madhab Singha,5,30 March 2025,this is a nice app*,N/A,N/A,"('N/A', 'N/A')"
prashanth s arya,1,30 March 2025,cheating by not replying in call,Gyani - Made in India for India,1 April 2025,2 people found this review helpful
Lucky channel,5,30 March 2025,verif nice app*,N/A,N/A,"('N/A', 'N/A')"
Eti Biswas,5,30 March 2025,THIS APP NICE APP*,N/A,N/A,"('N/A', 'N/A')"
Aditi Paul,5,30 March 2025,Nice app so much good must try ***,N/A,N/A,"('N/A', 'N/A')"
ATIF ANSARI,5,30 March 2025,I like this app Awesome App*,N/A,N/A,"('N/A', 'N/A')"
Ayush Pandey,5,30 March 2025,awesome *,N/A,N/A,"('N/A', 'N/A')"
Naresh Ram,5,30 March 2025,very awesome it's really good *,N/A,N/A,"('N/A', 'N/A')"
Abinash Sahoo,1,30 March 2025,"bad application,one you recharge everything is deleted",Gyani - Made in India for India,30 March 2025,2 people found this review helpful
Rajesh Kumar,5,30 March 2025,nice app *,N/A,N/A,"('N/A', 'N/A')"
rai STAR,5,30 March 2025,awesome app I like this app,N/A,N/A,"('N/A', 'N/A')"
Naitik Kale,5,30 March 2025,best app very useful app*,N/A,N/A,"('N/A', 'N/A')"
Muskan Gupta,5,30 March 2025,nice app*,N/A,N/A,"('N/A', 'N/A')"
Aditya Malik,5,30 March 2025,good app best app🥰🥰*,N/A,N/A,"('N/A', 'N/A')"
Ayush Kumar,5,30 March 2025,Awesome app I like this app*,N/A,N/A,"('N/A', 'N/A')"
Ganesh Sonawane,5,30 March 2025,I like bostt app *,N/A,N/A,"('N/A', 'N/A')"
Mumtsj123 Mumtaj123,5,30 March 2025,veri good app **,N/A,N/A,"('N/A', 'N/A')"
Samar Samudra,5,30 March 2025,"This app is very good, I have made friends because of this app*",N/A,N/A,"('N/A', 'N/A')"
Vinayak Mani Tripathi,5,30 March 2025,It's best app *,N/A,N/A,"('N/A', 'N/A')"
Aniket Kumar,5,30 March 2025,Awesome i lIke This App*,N/A,N/A,"('N/A', 'N/A')"
Shorabh Yadav,5,30 March 2025,the app is very good and useful and awesome*,N/A,N/A,"('N/A', 'N/A')"
Alaam Murad,5,30 March 2025,yah bahut achcha app hai ismein bahut achcha hai maja aate Hain*aapko bhi app download karna chahie,N/A,N/A,"('N/A', 'N/A')"
Aryan Mr,5,30 March 2025,this is very good app*,N/A,N/A,"('N/A', 'N/A')"
Free Fire,5,30 March 2025,This Wow*,N/A,N/A,"('N/A', 'N/A')"
Khushboo Kandoi,5,30 March 2025,it is the best app*,N/A,N/A,"('N/A', 'N/A')"
Rahi Patel,5,30 March 2025,The useful for you app nice dostt appreciate it very nice app*,N/A,N/A,"('N/A', 'N/A')"
Rajvir Singh,5,30 March 2025,awesome app i like*,N/A,N/A,"('N/A', 'N/A')"
Aditya Barua,1,30 March 2025,taliya honi chayie vaa 🤣🤣🤣🤣🤣🤣,Gyani - Made in India for India,30 March 2025,"('N/A', 'N/A')"
Armaan setia,5,30 March 2025,best app I like this app*,N/A,N/A,"('N/A', 'N/A')"
Gaurav Sharma,5,30 March 2025,🫶🫶❤️❤️❤️❤️🫶🫶*,N/A,N/A,"('N/A', 'N/A')"
Anshuman Anshuman,5,30 March 2025,Isme I like this one but it's*,N/A,N/A,"('N/A', 'N/A')"
Sahil Singh,5,30 March 2025,this app is very good app,N/A,N/A,"('N/A', 'N/A')"
Devil,5,30 March 2025,this app is very useful*,N/A,N/A,"('N/A', 'N/A')"
Rocky Singh,5,30 March 2025,VERY NICE APP TRY*,N/A,N/A,"('N/A', 'N/A')"
Devang Bamne,5,30 March 2025,"very impressive, I like this app a lot*",N/A,N/A,"('N/A', 'N/A')"
Shorya Chhikara,5,30 March 2025,this app is very good,N/A,N/A,"('N/A', 'N/A')"
CJ Implement,1,30 March 2025,don't install this app..Fake call centers hai..unko bola gaya hai ..call receive karke chod do...logo ke sath scam kar rahe hai..... request hai install mat karna,Gyani - Made in India for India,30 March 2025,"('N/A', 'N/A')"
Vishal Kumar,5,30 March 2025,excellent app I like this app*,N/A,N/A,"('N/A', 'N/A')"
Anshdeep singh,5,30 March 2025,amazing app*,N/A,N/A,"('N/A', 'N/A')"
Basanti Prajapati,5,30 March 2025,this app is very useful and very awesome*,N/A,N/A,"('N/A', 'N/A')"
Halso Xixs,5,30 March 2025,awesome I Likee this app so much*,N/A,N/A,"('N/A', 'N/A')"
Solanki Tushal,5,30 March 2025,very nice app*,N/A,N/A,"('N/A', 'N/A')"
majnu Majhi,5,30 March 2025,best app in world op ❤ in the world op in da world op ❤,N/A,N/A,"('N/A', 'N/A')"
Bikash Barman Barman,5,30 March 2025,very good app I like this app*,N/A,N/A,"('N/A', 'N/A')"
_Dark_ Knight_ x.10,5,30 March 2025,this an amazing app to find friends*,N/A,N/A,"('N/A', 'N/A')"
Raj Kumar,5,30 March 2025,I like this app for friends*,N/A,N/A,"('N/A', 'N/A')"
Shamrao Magdum,5,30 March 2025,Awesome app i am meet new friends thank you**,N/A,N/A,"('N/A', 'N/A')"
Lucky kashyap,5,30 March 2025,best app for finding friends*,N/A,N/A,"('N/A', 'N/A')"
royal gems,4,30 March 2025,best app for single boys,N/A,N/A,"('N/A', 'N/A')"
Sanskriti Sharma,5,30 March 2025,this app is amazing app I like this App*,N/A,N/A,"('N/A', 'N/A')"
local Gaming,5,30 March 2025,awesome app I like APP very nice*,N/A,N/A,"('N/A', 'N/A')"
Mayank Rana,5,30 March 2025,awesome app i like dostt app very much*,N/A,N/A,"('N/A', 'N/A')"
Tanishk Chaurasiya,5,30 March 2025,Very good app *,N/A,N/A,"('N/A', 'N/A')"
Saurav Kumar,5,30 March 2025,i`am absolutely amazing this app | This app is nice*,N/A,N/A,"('N/A', 'N/A')"
Gomatijaiswal Gomatijaiswal,5,30 March 2025,nice app i like this app*,N/A,N/A,"('N/A', 'N/A')"
Ayush Ray,5,30 March 2025,"This app is very useful. We can make friends easily with this app. This, l like it very much 😍😍",N/A,N/A,"('N/A', 'N/A')"
Poonam Kumari,5,30 March 2025,Awesome game*,N/A,N/A,"('N/A', 'N/A')"
Arfan Hossen,5,30 March 2025,beas app *,N/A,N/A,"('N/A', 'N/A')"
dragpal singh,5,30 March 2025,the best app*,N/A,N/A,"('N/A', 'N/A')"
Meerut Wala,5,30 March 2025,awesome app*,N/A,N/A,"('N/A', 'N/A')"
Bishank Das,5,30 March 2025,such a great app,N/A,N/A,"('N/A', 'N/A')"
Mimin Kuki,5,30 March 2025,good apps,N/A,N/A,"('N/A', 'N/A')"
Gopal Gagarai,5,30 March 2025,awesome thesis app i like tha app*,N/A,N/A,"('N/A', 'N/A')"
Simran Singh,5,30 March 2025,awesome application*,N/A,N/A,"('N/A', 'N/A')"
Atesh shakya,5,30 March 2025,is app Se Maine bahut sare dost banaa liye ekadam majedar Hai per aap log bhi aise us karo*,N/A,N/A,"('N/A', 'N/A')"
Karan Sastya,5,30 March 2025,best app 1*,N/A,N/A,"('N/A', 'N/A')"
Lalaram Balai,5,30 March 2025,This app is very useful*,N/A,N/A,"('N/A', 'N/A')"
Free fire master,5,30 March 2025,good app 👌 👍 *,N/A,N/A,"('N/A', 'N/A')"
Yash Chaudhary,5,30 March 2025,this is very awesome app*,N/A,N/A,"('N/A', 'N/A')"
Kailash Verma,5,30 March 2025,this is a great app for me*,N/A,N/A,"('N/A', 'N/A')"
Haha Uaiai,5,30 March 2025,this app very nice easy ues*,N/A,N/A,"('N/A', 'N/A')"
Murari Jha,5,30 March 2025,"Awesome, app I like this app*",N/A,N/A,"('N/A', 'N/A')"
Prem Chand,5,30 March 2025,osam app I like this app *,N/A,N/A,"('N/A', 'N/A')"
Sanoj Kumar,5,30 March 2025,this is the best app for making friends*,N/A,N/A,"('N/A', 'N/A')"
Arpit Kumar,5,30 March 2025,i like this app*,N/A,N/A,"('N/A', 'N/A')"
Sitaram Tanwar,5,30 March 2025,best app I like APP*,N/A,N/A,"('N/A', 'N/A')"
Anshul Thaneswar,5,30 March 2025,This app is awesome I like this app,N/A,N/A,"('N/A', 'N/A')"
Kamal Singh,5,30 March 2025,WOW THIS IS A VERY GOOD APP I RATE 5 STAR*,N/A,N/A,"('N/A', 'N/A')"
Nabanita Dey,5,30 March 2025,very nice app I really like it so much*,N/A,N/A,"('N/A', 'N/A')"
Hemant Kumar,5,30 March 2025,this app 🔥🔥💯 is very good app*,N/A,N/A,"('N/A', 'N/A')"
Vikash Choudhary,5,30 March 2025,it's very good app like you *,N/A,N/A,"('N/A', 'N/A')"
Vipul Patel,5,29 March 2025,dost ka good app*,N/A,N/A,"('N/A', 'N/A')"
sk reyaj,5,29 March 2025,bast app i like this app*,N/A,N/A,"('N/A', 'N/A')"
Ahtasham,5,29 March 2025,this app is cool nice I like this app*,N/A,N/A,"('N/A', 'N/A')"
venu likhith,1,29 March 2025,as I read through the reviews I could understand that all the reviews above 4 star where generated by AI they are trying to scam people with fake reviews if you carefully looked at reviews you will understand the common points as per the app itself before you pay when you try login it just says everyone is available but once you pay the money all the available option will disappear please be aware of the scam,Gyani - Made in India for India,30 March 2025,1 person found this review helpful
Ayushman Mukherjee,5,29 March 2025,very nice*,N/A,N/A,"('N/A', 'N/A')"
Jafar sama,5,29 March 2025,Jafar good app I like you*,N/A,N/A,"('N/A', 'N/A')"
Suraj Kumar,1,29 March 2025,very bad,Gyani - Made in India for India,30 March 2025,"('N/A', 'N/A')"
KK King,5,29 March 2025,Best app for makes friend and best working app no issue on this app*,N/A,N/A,"('N/A', 'N/A')"
Sanskar Jaiswal,5,29 March 2025,reading code achcha hai,N/A,N/A,"('N/A', 'N/A')"
Gyanu Kunwar,5,29 March 2025,best app for make friends*,N/A,N/A,"('N/A', 'N/A')"
CHIRAG KUMAR,5,29 March 2025,nice*app,N/A,N/A,"('N/A', 'N/A')"
Prince shah,5,29 March 2025,This app is Best Because I have made 3 new friends*,N/A,N/A,"('N/A', 'N/A')"
Gautam kumar Gautam kumar,5,29 March 2025,this app is best app for frendship and I like this app*,N/A,N/A,"('N/A', 'N/A')"
Sukamal Thandar,5,29 March 2025,This application is very amazing and this is a good application *,N/A,N/A,"('N/A', 'N/A')"
Nitesh Dixit,5,29 March 2025,It is very good app and actually I found real app thank you made us this app*,N/A,N/A,"('N/A', 'N/A')"
Suresh Saini,5,29 March 2025,this app is a best app*,N/A,N/A,"('N/A', 'N/A')"
Rbbrbr,5,29 March 2025,i like the app*,N/A,N/A,"('N/A', 'N/A')"
Mohit Meena,5,29 March 2025,Asome app and it is very nice*,N/A,N/A,"('N/A', 'N/A')"
Amit Adhikari,5,29 March 2025,I like this app*,N/A,N/A,"('N/A', 'N/A')"
Aman Lk,5,29 March 2025,Very harmful app on playstore*,N/A,N/A,"('N/A', 'N/A')"
Lakshya Bisht.,5,29 March 2025,absolutely a very good app for making friends*,N/A,N/A,"('N/A', 'N/A')"
Adity Kumar,5,29 March 2025,Very good app,N/A,N/A,"('N/A', 'N/A')"
Pankaj Yadav,5,29 March 2025,awesome app like this app*,N/A,N/A,"('N/A', 'N/A')"
Preeti Kumari,5,29 March 2025,op bhai *,N/A,N/A,"('N/A', 'N/A')"
Rangam Kumar,5,29 March 2025,wow its awesome app making friends*,N/A,N/A,"('N/A', 'N/A')"
Sabita Mohapatra,5,29 March 2025,very good app i like this app*,N/A,N/A,"('N/A', 'N/A')"
Aksharasurtikar,5,29 March 2025,app is great useful app*,N/A,N/A,"('N/A', 'N/A')"
Mangal dey,5,29 March 2025,nice app 👍👍,N/A,N/A,"('N/A', 'N/A')"
Haris Reyaz,5,29 March 2025,AMAZING,N/A,N/A,"('N/A', 'N/A')"
ANSH DEEP,5,29 March 2025,The app offers smooth animations for realistic card movements. Feel the thrill of a real rummy game.,N/A,N/A,"('N/A', 'N/A')"
Jisnu Roy,5,29 March 2025,best app for friend and easy to view other profile*,N/A,N/A,"('N/A', 'N/A')"
Popi Kachari,5,29 March 2025,nice app*,N/A,N/A,"('N/A', 'N/A')"
Omprakash Kumar,5,29 March 2025,Nice app I am using this app and my new friend*,N/A,N/A,"('N/A', 'N/A')"
Saidullah Bhat,5,29 March 2025,good app,N/A,N/A,"('N/A', 'N/A')"
