Username,Rating,Date,Review,Reply,Reply Date,Usefulness,Reply_Time_Days,Sentiment_Score,Sentiment,Tokens,UI_Issue,Performance_Issue,Feature_Request,Support_Complaint,Pricing_Complaint,delivery_issues,Payment_Problems,Food_Quality,Promotions_Issues
Mukesh Kumar,1,2025-04-11,bohot ghatiya app h  order delay h to ye baat nhi krenge option hi nhi denge bs inka bot hi reply krega faltu k isse bohot jyada better h zomato atleast respond to krte h wha log ,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we would be happy to connect with you and resolve the matter.",2025-04-11,0,0,0.1531,Positive,"['bohot', 'ghatiya', 'app', 'h', 'order', 'delay', 'h', 'ye', 'baat', 'nhi', 'krenge', 'option', 'hi', 'nhi', 'denge', 'bs', 'inka', 'bot', 'hi', 'reply', 'krega', 'faltu', 'k', 'isse', 'bohot', 'jyada', 'better', 'h', 'zomato', 'atleast', 'respond', 'krte', 'h', 'wha', 'log']",delay,delay,,"delay, reply",,"order, delay","app, delay",order,
ashwini kumar,1,2025-04-11,its the worst app ever with no response from the delivery partner and company ,"Hi Ashwini, we are disappointed to know about your experience with us. Kindly write to us at swiggysocial@swiggy.in with the issue so that we can check and assist you.",2025-04-11,0,0,-0.743,Negative,"['worst', 'app', 'ever', 'response', 'delivery', 'partner', 'company']",,,,response,,delivery,app,,delivery
Nikhil Kumar Mehrotra,1,2025-04-11,very bad customer service,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2025-04-11,0,0,-0.5849,Negative,"['bad', 'customer', 'service']",bad,,,,,,,bad,
BALARAJU SIVA RAJU,5,2025-04-11,nice,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-04-11,0,0,0.4215,Positive,['nice'],,,,,,,,,
Thejus S,1,2025-04-11,horrible experience too delayed in order delivery only the chat bots respond very difficult to connect to the team,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.,2025-04-11,0,0,-0.8016,Negative,"['horrible', 'experience', 'delayed', 'order', 'delivery', 'chat', 'bots', 'respond', 'difficult', 'connect', 'team']",difficult,,,delayed,,"delayed, order, delivery",,order,delivery
Rohit Golande,1,2025-04-11,customer care not properly helping us,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2025-04-11,0,0,0.3208,Positive,"['customer', 'care', 'properly', 'helping', 'us']",,,,,,,,,
Snehal Gaikwad,5,2025-04-11,good ,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-04-11,0,0,0.4404,Positive,['good'],,,,,,,,good,
Anwar,5,2025-04-11,,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-11,0,0,0.0,Neutral,[],,,,,,,,,
Jitender Kumar,5,2025-04-11,nice,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-11,0,0,0.4215,Positive,['nice'],,,,,,,,,
Hema Sundari,1,2025-04-11,i have this app for 10 yrs now things were very good until 2023 from last one year i think they have appointed genzs to run this business they have spoilt everything when you call the customer care the responses they give is  i cant do anything to help you maam sometimes the delivery guys make a scene in front of my house ready to argue about the mistakes theyre making not taking any responsibility for their fault some delivery guys even swear in bad words worst app since 1 yr,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed.,2025-04-11,0,0,-0.5868,Negative,"['app', 'yrs', 'things', 'good', 'last', 'one', 'year', 'think', 'appointed', 'genzs', 'run', 'business', 'spoilt', 'everything', 'call', 'customer', 'care', 'responses', 'give', 'cant', 'anything', 'help', 'maam', 'sometimes', 'delivery', 'guys', 'make', 'scene', 'front', 'house', 'ready', 'argue', 'mistakes', 'theyre', 'making', 'taking', 'responsibility', 'fault', 'delivery', 'guys', 'even', 'swear', 'bad', 'words', 'worst', 'app', 'since', 'yr']",bad,,,help,,"delivery, delivery","app, app","good, bad","delivery, delivery"
Arushi Rathore,5,2025-04-11,very useful app,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-11,0,0,0.4927,Positive,"['useful', 'app']",,,,,,,app,,
Anbu Tamil,5,2025-04-11,good service,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-11,0,0,0.4404,Positive,"['good', 'service']",,,,,,,,good,
pritesh yadav,5,2025-04-11,good service keep it,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",2025-04-11,0,0,0.4404,Positive,"['good', 'service', 'keep']",,,,,,,,good,
Tapan Usham,1,2025-04-11,delivery takes too long it took me 40min i dont recommend,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we would be happy to connect with you and resolve the matter.",2025-04-11,0,0,-0.2755,Negative,"['delivery', 'takes', 'long', 'took', 'dont', 'recommend']",,,recommend,"long, took",,"delivery, long, took",,,delivery
snehal shrigiriwar,4,2025-04-11,nice experience,Hey there! Such a bliss! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.,2025-04-11,0,0,0.4215,Positive,"['nice', 'experience']",,,,,,,,,
Jitendra Kumar Sahu,4,2025-04-11,good ,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-11,0,0,0.4404,Positive,['good'],,,,,,,,good,
Rahul Chavan,1,2025-04-11,worst experience today,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.,2025-04-11,0,0,-0.6249,Negative,"['worst', 'experience', 'today']",,,,,,,,,
Gulfaraz Khan,5,2025-04-11,mast,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-11,0,0,0.0,Neutral,['mast'],,,,,,,,,
Amaan Hussain,5,2025-04-11,very nice,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-11,0,0,0.4754,Positive,['nice'],,,,,,,,,
ashish diwaker,1,2025-04-11,very show service,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-04-11,0,0,0.0,Neutral,"['show', 'service']",,,,,,show,,,
Bajrangi Sonwani,5,2025-04-11,wrong address delivery cancel ,"Hey there, thanks for your valuable feedback. Please elaborate more on the issue by dropping an email at swiggysocial@swiggy.in, so we can assist you better.",2025-04-11,0,0,-0.6249,Negative,"['wrong', 'address', 'delivery', 'cancel']",,,,,,"wrong, address, delivery",,wrong,delivery
Krishna Mani,5,2025-04-11,achi service dena,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-11,0,0,0.0,Neutral,"['achi', 'service', 'dena']",,,,,,,,,
Madhan Kumar,1,2025-04-11,very worst responsibility,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,2025-04-11,0,0,-0.659,Negative,"['worst', 'responsibility']",,,,,,,,,
shweta Dora,1,2025-04-11,today i am forced to change my review had three been negative stars 100 would have been correct rating pathetic response by chat support abusive delivery partner non responsive customer care,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-11,0,0,-0.802,Negative,"['today', 'forced', 'change', 'review', 'three', 'negative', 'stars', 'would', 'correct', 'rating', 'pathetic', 'response', 'chat', 'support', 'abusive', 'delivery', 'partner', 'non', 'responsive', 'customer', 'care']",,,would,response,,delivery,,,delivery
Nivetha Amirtham,5,2025-04-11,good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-04-11,0,0,0.4404,Positive,['good'],,,,,,,,good,
Arkuti Sukumar,4,2025-04-11,good ,"Hi, thank you for delighting us with the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our service worth 5 stars.",2025-04-11,0,0,0.4404,Positive,['good'],,,,,,,,good,
Sakshi Pansari,1,2025-04-11,sbse ghatiya app hai costomer support naam ki to koi chij hi ni hai or complaint krne pr koi response nhi,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2025-04-11,0,0,0.128,Positive,"['sbse', 'ghatiya', 'app', 'hai', 'costomer', 'support', 'naam', 'ki', 'koi', 'chij', 'hi', 'ni', 'hai', 'complaint', 'krne', 'pr', 'koi', 'response', 'nhi']",,,,response,,,app,,
Rohit Saraswat,1,2025-04-11,after an hour of waiting order was cancelled by swiggy if you cant deliver on time kindly dont accept,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-11,0,0,0.0041,Neutral,"['hour', 'waiting', 'order', 'cancelled', 'swiggy', 'cant', 'deliver', 'time', 'kindly', 'dont', 'accept']",time,time,,time,,"waiting, order, time",,order,
Tirloki Kamboj,5,2025-04-11,excellent ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-11,0,0,0.5719,Positive,['excellent'],,,,,,,,,
Sahil Khan,5,2025-04-11,good,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-11,0,0,0.4404,Positive,['good'],,,,,,,,good,
